token,tag,pos
امریکایي,ADJ,adjective
فضانوردې,NOUN,noun
کریستینا کوچ,NOUN,noun
،,PUNCT,punctuation
په,PRT,particle
فضا,NOUN,noun
کې,PRT,particle
د,X,other
یوې,DET,determiner
ښځې,NOUN,noun
د,X,other
اوسیدو,X,other
تر,ADP,adposition
ټولو,ADV,adverb
اوږدې,ADJ,adjective
مودې,NOUN,noun
ریکارډ,NOUN,noun
ټینگ,ADJ,adjective
کړ,VERB,verb
.,PUNCT,punctuation
میرمن,NOUN,noun
کک,NOUN,noun
چې,PRT,particle
د,X,other
٢٠١٩,X,other
کال,NOUN,noun
د,X,other
مارچ,NOUN,noun
د,X,other
میاشتې,NOUN,noun
په,PRT,particle
١۴,NUM,numeral
نیټه,NOUN,noun
نړیوال,ADJ,adjective
فضایي,ADJ,adjective
مرکز,NOUN,noun
ته,PRT,particle
رسیدلې وه,VERB,vERB
،,PUNCT,punctuation
د,X,other
یکشنبې,NOUN,noun
د,X,other
ورځې,NOUN,noun
دسمبر,NOUN,noun
٢٩,NUM,numeral
پورې,X,other
په,PRT,particle
فضا,NOUN,noun
کې,PRT,particle
۲۹۰,NUM,numeral
ورځې,NOUN,noun
تیرې,X,other
کړي,VERB,verb
دي,VERB,verb
.,PUNCT,punctuation
خو,CONJ,coordinating conjunction
لا هم,X,other
د,X,other
کریستینا کوچ,NOUN,noun
ماموریت,NOUN,noun
ندی,X,other
بشپړ شوی,ADJ,adjective
او,CONJ,coordinating conjunction
ټاکل شوې,VERB,VERB
چې,PRT,particle
هغه,PRON,pronoun
دوه,DET,determiner
میاشتې,NOUN,noun
نورې هم,ADV,adverb
په,ADP,adposition
نړیوال,ADJ,adjective
فضایي,ADJ,adjective
مرکز,NOUN,noun
کې,PRT,particle
تیرې کړي,VERB,VERB
.,PUNCT,punctuation
تمه,NOUN,noun
ده,VERB,verb
چې,PRT,particle
میرمن,NOUN,noun
کک,NOUN,noun
په,PRT,particle
مجموع,NOUN,noun
کې,PRT,particle
۳۲۸,X,other
ورځې,NOUN,noun
یعنی,X,other
١١,X,other
میاشتې,NOUN,noun
په,PRT,particle
فضا,NOUN,noun
کې,PRT,particle
تیرې کړي,X,other
په,PRT,particle
فضا,NOUN,noun
کې,PRT,particle
د,X,other
یوې,X,other
ښځې,NOUN,noun
د,X,other
اوسیدو,X,other
پخوانی,ADJ,adjective
ریکارډ,NOUN,noun
٢٨٨,NUM,numeral
ورځې,NOUN,noun
و,VERB,VERB
چې,PRT,particle
پگي,X,other
ویتسون,X,other
،,PUNCT,punctuation
د,X,other
فضایي,ADJ,adjective
ستیشن,NOUN,noun
د,X,other
قوماندانې,NOUN,noun
په,PRT,particle
توگه,X,other
په,PRT,particle
٢٠١٦,NUM,numeral
