word,tag,pos
څونی,ADJ,adjective
مشاده,ADJ,adjective
مشتاق,ADJ,adjective
مشتبه,ADJ,adjective
مشترک,ADJ,adjective
مشتق,ADJ,adjective
مشتمل,ADJ,adjective
مشخص,ADJ,adjective
مشدد,ADJ,adjective
مشر,ADJ,adjective
مشرح,ADJ,adjective
مشرف,ADJ,adjective
مشرق,ADJ,adjective
مشرقي,ADJ,adjective
مشرک,ADJ,adjective
مشروط,ADJ,adjective
مشروطه,ADJ,adjective
مشروع,ADJ,adjective
مشغول,ADJ,adjective
مشفق,ADJ,adjective
مشکل,ADJ,adjective
مشکوک,ADJ,adjective
مشکي,ADJ,adjective
مشهود,ADJ,adjective
مشاته,ADJ,adjective
مشهور,ADJ,adjective
مشابه,ADJ,adjective
مسوول,ADJ,adjective
مسدود,ADJ,adjective
مسر,ADJ,adjective
مسرف,ADJ,adjective
مسرور,ADJ,adjective
مسطح,ADJ,adjective
مسعود,ADJ,adjective
مسک,ADJ,adjective
مسکر,ADJ,adjective
مسکن,ADJ,adjective
مسکون,ADJ,adjective
مسکين,ADJ,adjective
مسکی,ADJ,adjective
مسلح,ADJ,adjective
مسلسل,ADJ,adjective
مسلط,ADJ,adjective
مسلکي,ADJ,adjective
مسلم,ADJ,adjective
مسلول,ADJ,adjective
مسموم,ADJ,adjective
مسمی,ADJ,adjective
مسن,ADJ,adjective
مسهل,ADJ,adjective
مسول,ADJ,adjective
مسي,ADJ,adjective
مشورتي,ADJ,adjective
مشوش,ADJ,adjective
مصاب,ADJ,adjective
معاصر,ADJ,adjective
معاف,ADJ,adjective
معالج,ADJ,adjective
معايي,ADJ,adjective
معتاد,ADJ,adjective
معتبر,ADJ,adjective
معتدل,ADJ,adjective
معترض,ADJ,adjective
معترف,ADJ,adjective
معتقد,ADJ,adjective
معتمد,ADJ,adjective
معدني,ADJ,adjective
معذور,ADJ,adjective
معرب,ADJ,adjective
معروف,ADJ,adjective
معزز,ADJ,adjective
معزول,ADJ,adjective
معصوم,ADJ,adjective
معطر,ADJ,adjective
معطل,ADJ,adjective
معظم,ADJ,adjective
معقول,ADJ,adjective
معکوس,ADJ,adjective
معادل,ADJ,adjective
مظنون,ADJ,adjective
مظلوم,ADJ,adjective
مطيع,ADJ,adjective
مصادف,ADJ,adjective
مصر,ADJ,adjective
مصروف,ADJ,adjective
مصلح,ADJ,adjective
مصمم,ADJ,adjective
مصنوعي,ADJ,adjective
مصور,ADJ,adjective
مصوون,ADJ,adjective
مضاعف,ADJ,adjective
مضبوط,ADJ,adjective
مضحک,ADJ,adjective
مسخره,ADJ,adjective
مضر,ADJ,adjective
مضمحل,ADJ,adjective
مضمر,ADJ,adjective
مضموم,ADJ,adjective
مطابق,ADJ,adjective
مطرح,ADJ,adjective
مطلا,ADJ,adjective
مطلع,ADJ,adjective
مطلق,ADJ,adjective
مطلق العنان,ADJ,adjective
مطلقه,ADJ,adjective
مطمين,ADJ,adjective
مضطرب,ADJ,adjective
معلق,ADJ,adjective
مسخر,ADJ,adjective
مستوي,ADJ,adjective
مخکينی,ADJ,adjective
مخکښ,ADJ,adjective
مخلص,ADJ,adjective
مخلوط,ADJ,adjective
مخلوع,ADJ,adjective
مخمور,ADJ,adjective
مخنی,ADJ,adjective
مخور,ADJ,adjective
مدافع,ADJ,adjective
مداوم,ADJ,adjective
مدبر,ADJ,adjective
مدغم,ADJ,adjective
مدلل,ADJ,adjective
مدني,ADJ,adjective
مدهش,ADJ,adjective
